bairro,urg
CENTRO,CENTRO
CAONZE,CENTRO
CALIFORNIA,CENTRO
DA LUZ,CENTRO
RANCHO NOVO,CENTRO
VILA NOVA,CENTRO
CHACRINHA,CENTRO
STA EUGÊNIA,CENTRO
MOQUETA,CENTRO
JD TROPICAL,CENTRO
PRATA,CENTRO
JD IGUAÇU,CENTRO
ENGENHO,CENTRO
PENHENO,CENTRO
VILA OPERÁRIA,CENTRO
VIGA,CENTRO
POSSE,POSSE
PONTO CHIC,POSSE
CERÂMICA,POSSE
TRÊS CORAÇÕES,POSSE
KENNEDY,POSSE
BOTAFOGO,POSSE
CARMARY,POSSE
NOVA AMÉRICA,POSSE
AMBAÍ,POSSE
PARQUE FLORA,POSSE
COMENDADOR SOARES,COMENDADOR SOARES
JARDIM ALVORADA,COMENDADOR SOARES
DANON,COMENDADOR SOARES
ROSA DOS VENTOS,COMENDADOR SOARES
JD NOVA ERA,COMENDADOR SOARES
JD PALMARES,COMENDADOR SOARES
JD PARNAMBUCO,COMENDADOR SOARES
OURO VERDE,COMENDADOR SOARES
CABUÇU,CABUÇU
VALVERDE,CABUÇU
PALHADA,CABUÇU
MARAPICU,CABUÇU
IPIRANGA,CABUÇU
LAGOINHA,CABUÇU
CAMPO ALEGRE,CABUÇU
KM 32,KM 32
JARDIM GUANDU,KM 33
PARAÍSO,KM 34
PRADOS VERDE,KM 35
AUSTIN,AUSTIN
RIACHÃO,AUSTIN
CACUIA,AUSTIN
RODILÂNDIA,AUSTIN
INCONFIDÊNCIA,AUSTIN
CARLOS SAMPAIO,AUSTIN
VILA GUIMARÃES,AUSTIN
TINGUAZINHO,AUSTIN
VILA DE CAVA,VILA DE CAVA
SANTA RITA,VILA DE CAVA
CORUMBA,VILA DE CAVA
RANCHO FUNDO,VILA DE CAVA
FIGUEIRAS,VILA DE CAVA
IGUAÇU VELHO,VILA DE CAVA
MIGUEL COUTO,MIGUEL COUTO
PARQUE AMBAÍ,MIGUEL COUTO
GRAMA,MIGUEL COUTO
BOA ESPERANÇA,MIGUEL COUTO
GENECIANO,MIGUEL COUTO
TINGUÁ,TINGUÁ
ADRIANÓPOLIS,TINGUÁ
RIO D'OURO,TINGUÁ
MONTEVIDEO,TINGUÁ
JACERUBA,TINGUÁ
