urg,bairro,zona_fiscal,ivci_loja_terrea,cube_loja_terrea,ivci_pav_superior,cube_pav_superior,cube_uso_comum,ivci_galpao,cube_galpao,ivci_telheiro,cube_telheiro,cube_estacionamento
TINGUÁ,TINGUÁ,1,0.264,5.162,0.24,4.693,2.816,0.264,2.119,0.264,1.059,1.877
TINGUÁ,TINGUÁ,2,0.198,3.872,0.18,3.52,2.112,0.198,1.589,0.198,0.794,1.408
TINGUÁ,TINGUÁ,3,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.662,1.173
TINGUÁ,ADRIANÓPOLIS,1,0.231,4.517,0.21,4.106,2.464,0.231,1.854,0.231,0.927,1.642
TINGUÁ,ADRIANÓPOLIS,2,0.198,3.872,0.18,3.52,2.112,0.198,1.589,0.198,0.794,1.408
TINGUÁ,ADRIANÓPOLIS,3,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.662,1.173
TINGUÁ,RIO D'OURO,1,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.662,1.173
TINGUÁ,MONTEVIDEO,1,0.264,5.162,0.24,4.693,2.816,0.264,2.119,0.264,1.059,1.877
TINGUÁ,MONTEVIDEO,2,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.662,1.173
TINGUÁ,JACERUBA,1,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.662,1.173
MIGUEL COUTO,MIGUEL COUTO,1,0.795,15.539,0.723,14.132,8.479,0.795,6.379,0.795,3.19,5.653
MIGUEL COUTO,MIGUEL COUTO,2,0.706,13.813,0.642,12.562,7.537,0.706,5.67,0.706,2.835,5.025
MIGUEL COUTO,MIGUEL COUTO,3,0.618,12.068,0.562,10.991,6.595,0.618,4.962,0.618,2.481,4.397
MIGUEL COUTO,MIGUEL COUTO,4,0.53,10.38,0.482,9.421,5.853,0.53,4.253,0.53,2.126,3.768
MIGUEL COUTO,PARQUE AMBAÍ,1,0.402,7.687,0.366,7.162,4.297,0.402,3.229,0.402,1.615,2.865
MIGUEL COUTO,PARQUE AMBAÍ,2,0.358,6.993,0.326,6.386,3.82,0.358,2.87,0.358,1.435,2.547
MIGUEL COUTO,GRAMA,1,0.376,7.356,0.342,6.687,4.012,0.376,3.02,0.376,1.51,2.675
MIGUEL COUTO,GRAMA,2,0.277,5.42,0.252,4.927,2.956,0.277,2.225,0.277,1.112,1.971
MIGUEL COUTO,GRAMA,3,0.198,3.872,0.18,3.52,2.112,0.198,1.59,0.198,0.795,1.408
MIGUEL COUTO,BOA ESPERANÇA,1,0.349,6.828,0.318,6.213,3.728,0.349,2.803,0.349,1.401,2.485
MIGUEL COUTO,BOA ESPERANÇA,2,0.31,6.07,0.282,5.522,3.313,0.31,2.491,0.31,1.246,2.209
MIGUEL COUTO,GENECIANO,1,0.264,5.162,0.24,4.693,2.816,0.264,2.119,0.264,1.059,1.877
MIGUEL COUTO,GENECIANO,2,0.198,3.872,0.18,3.52,2.112,0.198,1.589,0.198,0.794,1.408
MIGUEL COUTO,GENECIANO,3,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.662,1.173
VILA DE CAVA,VILA DE CAVA,1,0.683,13.357,0.621,12.143,7.286,0.683,5.483,0.683,2.741,4.857
VILA DE CAVA,VILA DE CAVA,2,0.607,11.873,0.552,10.794,6.476,0.607,4.874,0.607,2.437,4.317
VILA DE CAVA,VILA DE CAVA,3,0.531,10.389,0.483,9.444,5.667,0.531,4.264,0.531,2.132,3.778
VILA DE CAVA,VILA DE CAVA,4,0.38,7.421,0.345,6.748,4.048,0.38,3.046,0.38,1.523,2.698
VILA DE CAVA,SANTA RITA,1,0.601,11.758,0.547,10.7,6.42,0.601,4.826,0.601,2.413,4.28
VILA DE CAVA,SANTA RITA,2,0.468,9.143,0.426,8.322,4.993,0.468,3.753,0.468,1.877,3.329
VILA DE CAVA,SANTA RITA,3,0.334,6.531,0.304,5.945,3.567,0.334,2.681,0.334,1.341,2.378
VILA DE CAVA,CORUMBA,1,0.364,7.118,0.331,6.476,3.888,0.364,2.922,0.364,1.461,2.59
VILA DE CAVA,CORUMBA,2,0.319,6.228,0.29,5.587,3.4,0.319,2.556,0.319,1.278,2.267
VILA DE CAVA,CORUMBA,3,0.228,4.449,0.207,4.048,2.429,0.228,1.826,0.228,0.913,1.619
VILA DE CAVA,RANCHO FUNDO,1,0.415,8.118,0.378,7.393,4.436,0.415,3.333,0.415,1.666,2.957
VILA DE CAVA,RANCHO FUNDO,2,0.306,5.982,0.279,5.447,3.268,0.306,2.456,0.306,1.228,2.179
VILA DE CAVA,RANCHO FUNDO,3,0.219,4.273,0.199,3.891,2.335,0.219,1.754,0.219,0.877,1.556
VILA DE CAVA,FIGUEIRAS,1,0.253,4.939,0.23,4.493,2.696,0.253,2.027,0.253,1.014,1.797
VILA DE CAVA,FIGUEIRAS,2,0.211,4.118,0.192,3.745,2.247,0.211,1.69,0.211,0.845,1.498
VILA DE CAVA,IGUAÇU VELHO,1,0.231,4.517,0.21,4.106,2.464,0.231,1.854,0.231,0.927,1.642
VILA DE CAVA,IGUAÇU VELHO,2,0.198,3.872,0.18,3.52,2.112,0.198,1.589,0.198,0.794,1.408
VILA DE CAVA,IGUAÇU VELHO,3,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.662,1.173
AUSTIN,AUSTIN,1,0.654,12.781,0.594,11.623,6.974,0.654,5.246,0.654,2.623,4.649
AUSTIN,AUSTIN,2,0.572,11.183,0.52,10.17,6.102,0.572,4.591,0.572,2.295,4.068
AUSTIN,AUSTIN,3,0.49,9.588,0.446,8.717,5.23,0.49,3.935,0.49,1.967,3.487
AUSTIN,AUSTIN,4,0.409,7.988,0.372,7.265,4.359,0.409,3.279,0.409,1.64,2.906
AUSTIN,RIACHÃO,1,0.422,8.259,0.384,7.509,4.505,0.422,3.39,0.422,1.695,3.004
AUSTIN,RIACHÃO,2,0.37,7.227,0.336,6.57,3.942,0.37,2.967,0.37,1.483,2.626
AUSTIN,RIACHÃO,3,0.317,6.194,0.288,5.632,3.379,0.317,2.543,0.317,1.271,2.253
AUSTIN,CACUIA,1,0.356,6.953,0.323,6.324,3.794,0.356,2.855,0.356,1.427,2.53
AUSTIN,CACUIA,2,0.254,4.967,0.231,4.517,2.71,0.254,2.039,0.254,0.02,1.807
AUSTIN,RODILÂNDIA,1,0.335,6.558,0.305,5.954,3.573,0.335,2.692,0.335,1.345,2.382
AUSTIN,RODILÂNDIA,2,0.287,5.62,0.261,5.104,3.062,0.287,2.307,0.287,1.153,2.041
AUSTIN,RODILÂNDIA,3,0.24,4.683,0.218,4.253,2.552,0.24,1.923,0.24,0.961,1.701
AUSTIN,RODILÂNDIA,4,0.216,4.215,0.196,3.828,2.297,0.216,1.73,0.216,0.865,1.531
AUSTIN,INCONFIDÊNCIA,1,0.274,5.382,0.25,4.88,2.928,0.274,2.201,0.274,1.1,1.952
AUSTIN,INCONFIDÊNCIA,2,0.183,3.574,0.166,3.254,1.952,0.183,1.467,0.183,0.734,1.301
AUSTIN,CARLOS SAMPAIO,1,0.188,3.689,0.171,3.344,2.006,0.188,1.506,0.188,0.753,1.337
AUSTIN,CARLOS SAMPAIO,2,0.167,3.262,0.152,2.972,1.783,0.167,1.339,0.167,0.67,1.189
AUSTIN,CARLOS SAMPAIO,3,0.146,2.854,0.133,2.601,1.56,0.146,1.171,0.146,0.586,1.04
AUSTIN,VILA GUIMARÃES,1,0.281,5.489,0.256,4.998,2.998,0.281,2.253,0.281,1.128,1.998
AUSTIN,VILA GUIMARÃES,2,0.201,3.921,0.183,3.569,2.141,0.201,1.61,0.201,0.805,1.427
AUSTIN,VILA GUIMARÃES,3,0.16,3.136,0.146,2.855,1.713,0.16,1.288,0.16,0.644,1.142
AUSTIN,TINGUAZINHO,1,0.264,5.162,0.24,4.693,2.816,0.264,2.119,0.264,1.059,1.877
AUSTIN,TINGUAZINHO,2,0.198,3.872,0.18,3.52,2.112,0.198,1.589,0.198,0.794,1.408
AUSTIN,TINGUAZINHO,3,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.682,1.173
KM 32,KM 32,1,0.526,10.28,0.478,9.349,5.809,0.526,4.22,0.526,2.11,3.739
KM 32,KM 32,2,0.451,8.811,0.41,8.013,4.808,0.451,3.617,0.451,1.808,3.205
KM 32,KM 32,3,0.376,7.343,0.342,6.678,4.007,0.376,3.014,0.376,1.507,2.671
KM 32,KM 32,4,0.3,5.874,0.273,5.342,3.205,0.3,2.411,0.3,1.206,2.137
KM 32,KM 32,5,0.225,4.408,0.205,4.007,2.404,0.225,1.808,0.225,0.904,1.603
KM 32,JARDIM GUANDU,1,0.231,4.517,0.21,4.106,2.484,0.231,1.854,0.231,0.927,1.642
KM 32,JARDIM GUANDU,2,0.198,3.872,0.18,3.52,2.112,0.198,1.589,0.198,0.794,1.408
KM 32,JARDIM GUANDU,3,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.682,1.173
KM 32,PARAÍSO,1,0.33,6.453,0.3,5.866,3.52,0.33,2.649,0.33,1.324,2.346
KM 32,PARAÍSO,2,0.264,5.162,0.24,4.693,2.816,0.264,2.119,0.264,1.059,1.877
KM 32,PARAÍSO,3,0.231,4.517,0.21,4.106,2.484,0.231,1.854,0.231,0.927,1.642
KM 32,PARAÍSO,4,0.198,3.872,0.18,3.52,2.112,0.198,1.589,0.198,0.794,1.408
KM 32,PARAÍSO,5,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.662,1.173
KM 32,PARAÍSO,6,0.132,2.581,0.12,2.346,1.408,0.132,1.06,0.132,0.53,0.939
KM 32,PRADOS VERDE,1,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.662,1.173
KM 32,PRADOS VERDE,2,0.132,2.581,0.12,2.346,1.408,0.132,1.06,0.132,0.53,0.939
CABUÇU,CABUÇU,1,0.646,12.636,0.588,11.492,8.895,0.646,5.187,0.646,2.594,4.597
CABUÇU,CABUÇU,2,0.574,11.232,0.522,10.215,8.129,0.574,4.81,0.574,2.306,4.088
CABUÇU,CABUÇU,3,0.431,8.424,0.392,7.681,4.597,0.431,3.458,0.431,1.729,3.065
CABUÇU,CABUÇU,4,0.395,7.722,0.359,7.023,4.214,0.395,3.17,0.395,1.585,2.809
CABUÇU,CABUÇU,5,0.359,7.02,0.327,6.385,3.831,0.359,2.882,0.359,1.441,2.554
CABUÇU,VALVERDE,1,0.505,9.873,0.459,8.975,5.385,0.505,4.053,0.505,2.027,3.59
CABUÇU,VALVERDE,2,0.393,7.679,0.357,6.98,4.188,0.393,3.152,0.393,1.578,2.792
CABUÇU,VALVERDE,3,0.337,6.582,0.306,5.983,3.59,0.337,2.702,0.337,1.351,2.393
CABUÇU,PALHADA,1,0.416,8.134,0.378,7.399,4.44,0.416,3.339,0.416,1.67,2.96
CABUÇU,PALHADA,2,0.39,7.626,0.355,6.937,4.162,0.39,3.131,0.39,1.565,2.775
CABUÇU,PALHADA,3,0.312,6.101,0.284,5.549,3.33,0.312,2.504,0.312,1.252,2.22
CABUÇU,PALHADA,4,0.26,5.084,0.237,4.625,2.775,0.26,2.087,0.26,1.044,1.85
CABUÇU,MARAPICU,1,0.264,5.162,0.24,4.693,2.816,0.264,2.119,0.264,1.059,1.877
CABUÇU,MARAPICU,2,0.198,3.872,0.18,3.52,2.112,0.198,1.589,0.198,0.794,1.408
CABUÇU,MARAPICU,3,0.182,3.549,0.165,3.226,1.938,0.182,1.457,0.182,0.728,1.291
CABUÇU,MARAPICU,4,0.165,3.227,0.15,2.933,1.76,0.165,1.325,0.165,0.662,1.173
CABUÇU,IPIRANGA,1,0.231,4.517,0.21,4.106,2.464,0.231,1.854,0.231,0.927,1.842
CABUÇU,IPIRANGA,2,0.198,3.872,0.18,3.52,2.112,0.198,1.589,0.198,0.794,1.408
CABUÇU,IPIRANGA,3,0.182,3.549,0.165,3.226,1.938,0.182,1.457,0.182,0.728,1.291
