urg,bairro,acp_zf,acp_ivr,acp_cube,acpd_zf,acpd_cube
CENTRO,CENTRO,1,0.76,14.86085,1,7.430425
CENTRO,CENTRO,2,0.72,14.0787,2,7.03935
CENTRO,CENTRO,3,0.68,13.29655,3,6.648275
CENTRO,CENTRO,4,0.8,15.643,4,7.8215
CENTRO,CENTRO,5,0.56,10.9501,5,5.47505
CENTRO,CAONZE,1,0.785,15.35,1,7.675
CENTRO,CAONZE,2,0.5495,10.745,2,5.3725
CENTRO,CALIFORNIA,1,0.765,14.959,1,7.4795
CENTRO,CALIFORNIA,2,0.6885,13.4631,2,6.73155
CENTRO,DA LUZ,1,0.753,14.724,1,7.362
CENTRO,DA LUZ,2,0.71535,13.9878,2,6.9939
CENTRO,DA LUZ,3,0.71535,13.9878,3,6.9939
CENTRO,DA LUZ,4,0.71535,13.9878,4,6.9939
CENTRO,DA LUZ,5,0.6777,13.2516,5,6.6258
CENTRO,DA LUZ,6,0.64005,12.5154,6,6.2577
CENTRO,RANCHO NOVO,1,0.6633,12.9699,1,6.48495
CENTRO,RANCHO NOVO,2,0.5896,11.5288,2,5.7644
CENTRO,RANCHO NOVO,3,0.5896,11.5288,3,5.7644
CENTRO,VILA NOVA,1,0.6525,12.7593,1,6.37965
CENTRO,VILA NOVA,2,0.58,11.3416,2,5.6708
CENTRO,VILA NOVA,3,0.5075,9.9239,3,4.96195
CENTRO,CHACRINHA,1,0.6802,13.30095,1,6.650475
CENTRO,CHACRINHA,2,0.6444,12.6009,2,6.30045
CENTRO,CHACRINHA,3,0.5728,11.2008,3,5.6004
CENTRO,SANTA EUGÊNIA,1,0.6372,12.4596,1,6.2298
CENTRO,SANTA EUGÊNIA,2,0.5664,11.0752,2,5.5376
CENTRO,SANTA EUGÊNIA,3,0.4956,9.6908,3,4.8454
CENTRO,MOQUETA,1,0.6309,12.3363,1,6.16815
CENTRO,MOQUETA,2,0.5608,10.9656,2,5.4828
CENTRO,MOQUETA,3,0.4907,9.5949,3,4.79745
CENTRO,JARDIM TROPICAL,1,0.6255,12.231,1,6.1155
CENTRO,JARDIM TROPICAL,2,0.556,10.872,2,5.436
CENTRO,JARDIM TROPICAL,3,0.4865,9.513,3,4.7565
CENTRO,PRATA,1,0.6084,11.8962,1,5.9481
