grupo_zona_especial,nome_logradouro,trecho,codigo,bairro,ivc_ze,cube_cze
SHOPPING A CÉU ABERTO,Av. Nilo Peçanha,Da Av. Marechal Floriano Peixoto à Via Light (Lado Par),00015-90,Centro,2.5,48.885
SHOPPING A CÉU ABERTO,Av. Nilo Peçanha,Da Av. Marechal Floriano Peixoto à Via Light (Lado Ímpar),00015-91,Centro,2.5,48.885
SHOPPING A CÉU ABERTO,Av. Gov. Amaral Peixoto,Da Rua Doutor Luiz Guimarães à Rua Dr. Otávio Tarquino,00007-90,Centro,2.5,48.885
SHOPPING A CÉU ABERTO,Rua Quintino Bocaiuva,Da Av. Gov. Amaral Peixoto à Rua Almerinda Lucas de Azeredo,00541-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Rua Dr. Otávio Tarquino,Da Av. Marechal Floriano Peixoto à Via Light (Lado Par),00013-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Rua Dr. Otávio Tarquino,Da Av. Marechal Floriano Peixoto à Via Light (Lado Ímpar),00013-91,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Rua Dr. Luiz Guimarães,Da Av. Marechal Floriano Peixoto à Via Light (Lado Par),00009-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Rua Dr. Luiz Guimarães,Da Av. Marechal Floriano Peixoto à Via Light (Lado Ímpar),00009-91,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Praça da Liberdade,Da Trv. Rosinda Martins ao Número 1946 da Av. Marechal Floriano Peixoto,00016-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Trv. Irene,Da Av. Gov. Amaral Peixoto até o Final,00014-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Praça José Hipólito de Oliveira,Da Trv. Renato Pedrosa à Av. Nilo Peçanha,09640-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Rua José Hipólito de Oliveira,Da Rua Doutor Luiz Guimarães à Av. Nilo Peçanha,00023-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Trv. Rosinda Martins,Da Av. Marechal Floriano Peixoto à Av. Gov. Amaral Peixoto,00006-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Trv. Renato Pedroza,Da Av. Gov. Amaral Peixoto à Rua José Hipólito de Oliveira,00024-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Trv. Martins,Da Av. Gov. Amaral Peixoto até o Final,00479-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Rua Heraldo Salles de Abreu,Da Av. Gov. Amaral Peixoto à Rua José Hipólito de Oliveira,00025-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Rua Maria Adelaide de Carvalho,Da Av. Nilo Peçanha à Rua Heraldo Salles de Abreu,00022-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Trv. Alberto Cocoza,Da Av. Gov. Amaral Peixoto à Trv. Martins,00005-90,Centro,2.3,44.974
SHOPPING A CÉU ABERTO,Rua Nelson Ramos,Da Av. Nilo Peçanha à Rua Doutor Luiz Guimarães,00026-90,Centro,2.1,41.063
SHOPPING A CÉU ABERTO,Trv. Almeirinda Lucas de Azeredo,Da Av. Nilo Peçanha à Rua Doutor Otávio Tarquino,00863-90,Centro,2.1,41.063
SHOPPING A CÉU ABERTO,Av. Mal. Floriano Peixoto,Da Rua Cel. Francisco Soares à Rua Dr. Otávio Tarquino,00002-90,Centro,2.1,41.063
SHOPPING A CÉU ABERTO,Rua Min. Edgar da Costa,Da Av. Marechal Floriano Peixoto à Rua Gov. Portela,00003-90,Centro,2.1,41.063
SHOPPING A CÉU ABERTO,Av. Gov. Portela,Da Rua Cel. Francisco Soares à Rua Dr. Luiz Guimarães,00004-90,Centro,2.1,41.063
SHOPPING A CÉU ABERTO,Rua Prof. Venina C. Torres,Da Rua Cel. Francisco Soares à Rua Dr. Luiz Guimarães,00027-90,Centro,2.1,41.063
SHOPPING A CÉU ABERTO,Praça Rui Barbosa,Da Rua Ministro Edgar Costa a Rua Doutor Luiz Guimarães,00241-90,Centro,2.1,41.063
SHOPPING A CÉU ABERTO,Trv. Portugal,Da Rua Heraldo Salles de Abreu até o Final,00264-90,Centro,2.1,41.063
CENTRO DAS URG´S,Est. João Venâncio Figueiredo,Da Av. Gov. Roberto Silveira à Rua João Cândido (Lado Par),02027-90,Posse,1.3,25.42
CENTRO DAS URG´S,Est. João Venâncio Figueiredo,Da Av. Gov. Roberto Silveira à Rua João Cândido (Lado Ímpar),02027-91,Posse,1.3,25.42
CENTRO DAS URG´S,Av. Henrique D. Estrada Meyer,Da Rua Frei Frederico Vier à Estrada da Gama / Rua da Engenharia,02226-90,Posse,1.3,25.42
CENTRO DAS URG´S,Rua Tomaz Fonseca,Do Beco da Estação à Rod. Presidente Dutra - Lado Par,09971-90,Com. Soares,1.753,34.278
CENTRO DAS URG´S,Rua Tomaz Fonseca,Do Beco da Estação à Rod. Presidente Dutra - Lado Ímpar,09971-91,Com. Soares,1.753,34.278
CENTRO DAS URG´S,Av. Cel. Monteiro de Barros,Da Av. Felipe Salomão à cancela(Passagem de Nível) - Lado Par,05599-90,Austin,1.486,29.057
CENTRO DAS URG´S,Av. Cel. Monteiro de Barros,Da Av. Felipe Salomão à cancela(Passagem de Nível) - Lado Ímpar,05599-91,Austin,1.486,29.057
CENTRO DAS URG´S,Prof. Marly de Carvalho Pereira,Da Rua Lucas Rodrigues à Rua Francisco Vieira de Souza,04619-90,Miguel Couto,1.25,24.442
CENTRO DAS URG´S,Est. de Iguaçu,Da Rua São Pedro à Rua Cameron,06610-90,Miguel Couto,1.25,24.442
CENTRO DAS URG´S,Rua Cameron,Da Est. Iguaçu à Rua Marly de Carvalho Pereira(Antiga H),04516-90,Miguel Couto,1.25,24.442
