urg,bairro,zona_fiscal,faixa_area,area_min,area_max,valor_ufinig_m2
CENTRO,CENTRO,1,até 500 m²,0.0,500.0,3.347
CENTRO,CENTRO,1,"500,01 a 1.500 m²",500.01,1500.0,2.343
CENTRO,CENTRO,1,"1.500,01 a 5.000 m²",1500.01,5000.0,1.64
CENTRO,CENTRO,1,"5.000,01 a 20.000 m²",5000.01,20000.0,0.984
CENTRO,CENTRO,1,"20.000,01 a 50.000 m²",20000.01,50000.0,0.689
CENTRO,CENTRO,1,"50.000,01 a 100.000 m²",50000.01,100000.0,0.482
CENTRO,CENTRO,1,"100.000,01 a 500.000 m²",100000.01,500000.0,0.386
CENTRO,CENTRO,1,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.309
CENTRO,CENTRO,1,acima de  1.000.000 m²,1000000.0,,0.247
CENTRO,CENTRO,2,até 500 m²,0.0,500.0,3.347
CENTRO,CENTRO,2,"500,01 a 1.500 m²",500.01,1500.0,2.343
CENTRO,CENTRO,2,"1.500,01 a 5.000 m²",1500.01,5000.0,1.64
CENTRO,CENTRO,2,"5.000,01 a 20.000 m²",5000.01,20000.0,0.984
CENTRO,CENTRO,2,"20.000,01 a 50.000 m²",20000.01,50000.0,0.689
CENTRO,CENTRO,2,"50.000,01 a 100.000 m²",50000.01,100000.0,0.482
CENTRO,CENTRO,2,"100.000,01 a 500.000 m²",100000.01,500000.0,0.386
CENTRO,CENTRO,2,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.309
CENTRO,CENTRO,2,acima de  1.000.000 m²,1000000.0,,0.247
CENTRO,CENTRO,3,até 500 m²,0.0,500.0,3.347
CENTRO,CENTRO,3,"500,01 a 1.500 m²",500.01,1500.0,2.343
CENTRO,CENTRO,3,"1.500,01 a 5.000 m²",1500.01,5000.0,1.64
CENTRO,CENTRO,3,"5.000,01 a 20.000 m²",5000.01,20000.0,0.984
CENTRO,CENTRO,3,"20.000,01 a 50.000 m²",20000.01,50000.0,0.689
CENTRO,CENTRO,3,"50.000,01 a 100.000 m²",50000.01,100000.0,0.482
CENTRO,CENTRO,3,"100.000,01 a 500.000 m²",100000.01,500000.0,0.386
CENTRO,CENTRO,3,"500.000,01 a 1.000.000 m²",500000.01,1000000.0,0.309
CENTRO,CENTRO,3,acima de  1.000.000 m²,1000000.0,,0.247
CENTRO,CENTRO,4,até 500 m²,0.0,500.0,3.347
CENTRO,CENTRO,4,"500,01 a 1.500 m²",500.01,1500.0,2.343
CENTRO,CENTRO,4,"1.500,01 a 5.000 m²",1500.01,5000.0,1.64
CENTRO,CENTRO,4,"5.000,01 a 20.000 m²",5000.01,20000.0,0.984
CENTRO,CENTRO,4,"20.000,01 a 50.000 m²",20000.01,50000.0,0.689
