urg,bairro,codigo_logradouro,faixa_area,area_min,area_max,valor_ufinig_m2
CENTRO,Centro,00327-90,AT É 500 M²,0.0,500.0,3.347
CENTRO,Centro,00327-90,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,2.845
CENTRO,Centro,00327-90,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,2.276
CENTRO,Centro,00327-90,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,1.821
CENTRO,Centro,00327-90,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,1.274
CENTRO,Centro,00327-90,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.765
CENTRO,Centro,00327-90,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.612
CENTRO,Centro,00327-90,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.551
CENTRO,Centro,00327-90,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.495
CENTRO,Califórnia,00327-91,AT É 500 M²,0.0,500.0,3.347
CENTRO,Califórnia,00327-91,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,2.845
CENTRO,Califórnia,00327-91,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,2.276
CENTRO,Califórnia,00327-91,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,1.821
CENTRO,Califórnia,00327-91,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,1.274
CENTRO,Califórnia,00327-91,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.765
CENTRO,Califórnia,00327-91,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.612
CENTRO,Califórnia,00327-91,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.551
CENTRO,Califórnia,00327-91,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.495
CENTRO,Rancho Novo,00327-92,AT É 500 M²,0.0,500.0,3.347
CENTRO,Rancho Novo,00327-92,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,2.845
CENTRO,Rancho Novo,00327-92,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,2.276
CENTRO,Rancho Novo,00327-92,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,1.821
CENTRO,Rancho Novo,00327-92,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,1.274
CENTRO,Rancho Novo,00327-92,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.765
CENTRO,Rancho Novo,00327-92,"DE 100.000,0 1 M² ATÉ 500.000 M²",0.0,100000.0,0.612
CENTRO,Rancho Novo,00327-92,"DE 500.000,0 1 M² ATÉ 1.000.000 M²",0.0,500000.0,0.551
CENTRO,Rancho Novo,00327-92,"ACIMA DE 1.000. 000,01 M²",1000.0,,0.495
CENTRO,Vila Nova,00327-93,AT É 500 M²,0.0,500.0,3.347
CENTRO,Vila Nova,00327-93,"DE 500,01 M² ATÉ 1.500 M²",0.0,500.01,2.845
CENTRO,Vila Nova,00327-93,"DE 1.500,01 M² ATÉ 5.000 M²",0.0,1500.01,2.276
CENTRO,Vila Nova,00327-93,"DE 5000,01 M² ATÉ 20.000 M²",0.0,5000.01,1.821
CENTRO,Vila Nova,00327-93,"DE 20.000,01 M² ATÉ 50.000 M²",0.0,20000.01,1.274
CENTRO,Vila Nova,00327-93,"DE 50.000,01 M² ATÉ 100.000 M²",0.0,50000.01,0.765
